Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
341,Vitezslav Jaros,cz CZE,GK,nl Ajax,24-163,2001,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
342,Mikel Jauregizar,es ESP,MF,es Athletic Club,22-050,2003,6,5,393,4.4,0,2,2,0,0,0,2,0,0.1,0.1,0.7,0.8,2,29,6,0,0.46,0.46,0,0.46,0.01,0.16,0.18,0.01,0.18,Matches
343,Luis Javier Suárez,co COL,FW,pt Sporting CP,28-031,1997,6,4,389,4.3,2,0,2,1,1,1,1,0,2.6,1.8,0.9,2.8,7,10,20,0.46,0,0.46,0.23,0.23,0.61,0.22,0.82,0.42,0.64,Matches
344,Gabriel Jesus,br BRA,FW,eng Arsenal,28-274,1997,1,0,29,0.3,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,0,2,6,0,0,0,0,0,1.12,1,2.12,1.12,2.12,Matches
345,Juan Jesus,br BRA,DF,it Napoli,34-206,1991,5,1,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,Matches
346,João Pedro,br BRA,"FW,MF",eng Chelsea,24-098,2001,4,3,279,3.1,1,0,1,1,0,0,2,1,1,1,0.1,1.1,4,10,10,0.32,0,0.32,0.32,0.32,0.31,0.05,0.36,0.31,0.36,Matches
347,Joelinton,br BRA,MF,eng Newcastle Utd,29-141,1996,5,4,297,3.3,1,0,1,1,0,0,2,0,1.1,1.1,0.1,1.2,2,13,7,0.3,0,0.3,0.3,0.3,0.33,0.02,0.35,0.33,0.35,Matches
348,Brennan Johnson,wls WAL,FW,eng Tottenham,24-224,2001,4,2,150,1.7,1,0,1,1,0,0,0,1,0.8,0.8,0,0.8,3,4,11,0.6,0,0.6,0.6,0.6,0.48,0.02,0.5,0.48,0.5,Matches
349,Curtis Jones,eng ENG,"MF,DF",eng Liverpool,24-337,2001,5,4,372,4.1,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,6,36,10,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
350,Frenkie de Jong,nl NED,MF,es Barcelona,28-235,1997,6,4,417,4.6,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,8,31,7,0,0,0,0,0,0.04,0.06,0.11,0.04,0.11,Matches
351,Luiz Lúcio Reis Júnior,br BRA,GK,es Villarreal,24-353,2001,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
352,Mauro Júnior,br BRA,"MF,DF",nl PSV Eindhoven,26-241,1999,5,5,450,5,0,2,2,0,0,0,1,0,0.3,0.3,0.7,1.1,11,17,11,0,0.4,0.4,0,0.4,0.06,0.15,0.21,0.06,0.21,Matches
353,Vinicius Júnior,br BRA,"FW,MF",es Real Madrid,25-174,2000,6,5,449,5,0,2,2,0,0,0,1,0,1.8,1.8,1.5,3.3,36,16,71,0,0.4,0.4,0,0.4,0.35,0.31,0.66,0.35,0.66,Matches
354,Filip Jørgensen,dk DEN,GK,eng Chelsea,23-261,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Mathias Jørgensen,dk DEN,"FW,MF",no Bodø/Glimt,25-104,2000,3,1,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,Matches
356,Ayoub El Kaabi,ma MAR,FW,gr Olympiacos,32-190,1993,6,6,519,5.8,2,1,3,1,1,1,0,0,3.7,2.9,0.5,3.4,4,8,21,0.35,0.17,0.52,0.17,0.35,0.64,0.08,0.72,0.5,0.58,Matches
357,Sherhan Kalmurza,kz KAZ,GK,kz Qa?rat Almaty,18-202,2007,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
358,Pierre Kalulu,fr FRA,DF,it Juventus,25-211,2000,6,6,540,6,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,10,25,12,0,0.17,0.17,0,0.17,0.03,0.09,0.11,0.03,0.11,Matches
359,Harry Kane,eng ENG,"FW,MF",de Bayern Munich,32-158,1993,6,6,486,5.4,5,0,5,4,1,1,0,0,4,3.3,1.3,4.5,7,14,17,0.93,0,0.93,0.74,0.74,0.75,0.23,0.98,0.6,0.84,Matches
360,Lee Kang-in,kr KOR,"FW,MF",fr Paris S-G,24-317,2001,5,0,176,2,0,0,0,0,0,0,0,0,0.3,0.3,1.2,1.5,10,16,19,0,0,0,0,0,0.14,0.62,0.77,0.14,0.77,Matches
361,Lennart Karl,de GER,MF,de Bayern Munich,17-314,2008,4,3,242,2.7,3,0,3,3,0,0,0,0,2,2,0.1,2.1,12,7,26,1.12,0,1.12,1.12,1.12,0.73,0.04,0.78,0.73,0.78,Matches
362,Damir Kasabulat,kz KAZ,MF,kz Qa?rat Almaty,23-126,2002,6,4,327,3.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,12,3,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
363,Oleksii Kashchuk,ua UKR,"FW,MF",az Qaraba?,25-187,2000,6,1,174,1.9,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,7,4,8,0.52,0,0.52,0.52,0.52,0.35,0.02,0.37,0.35,0.37,Matches
364,Thilo Kehrer,de GER,DF,fr Monaco,29-103,1996,6,4,419,4.7,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,0,13,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
365,Lloyd Kelly,eng ENG,DF,it Juventus,27-088,1998,5,5,450,5,1,1,2,1,0,0,1,0,0.8,0.8,1.2,1.9,5,15,1,0.2,0.2,0.4,0.2,0.4,0.16,0.23,0.39,0.16,0.39,Matches
366,Milos Kerkez,hu HUN,DF,eng Liverpool,22-056,2003,4,2,188,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,9,6,0,0,0,0,0,0.14,0.05,0.19,0.14,0.19,Matches
367,Anan Khalaili,il ISR,"DF,FW",be Union SG,21-121,2004,6,6,521,5.8,2,0,2,2,0,0,1,0,0.3,0.3,1.1,1.4,14,15,26,0.35,0,0.35,0.35,0.35,0.05,0.2,0.25,0.05,0.25,Matches
368,Abdukodir Khusanov,uz UZB,DF,eng Manchester City,21-307,2004,2,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
369,Joshua Kimmich,de GER,MF,de Bayern Munich,30-328,1995,6,6,530,5.9,0,0,0,0,0,0,1,0,0.8,0.8,1.3,2.1,9,46,8,0,0,0,0,0,0.13,0.23,0.36,0.13,0.36,Matches
370,Davy Klaassen,nl NED,MF,nl Ajax,32-315,1993,6,4,403,4.5,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1,1,9,8,0,0,0,0,0,0.19,0.04,0.23,0.19,0.23,Matches
371,Anders Klynge,dk DEN,"MF,DF",no Bodø/Glimt,25-080,2000,3,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
372,Ansgar Knauff,de GER,FW,de Eint Frankfurt,23-357,2002,6,5,425,4.7,2,1,3,2,0,0,1,0,1,1,0.6,1.6,13,7,30,0.42,0.21,0.64,0.42,0.64,0.21,0.12,0.33,0.21,0.33,Matches
373,Gregor Kobel,ch SUI,GK,de Dortmund,28-027,1997,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
